         41373135 function calls (41372477 primitive calls) in 139.881 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2943500   35.871    0.000   35.871    0.000 decoder.py:345(raw_decode)
  5888274   18.756    0.000   18.756    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
  2943500   16.901    0.000   75.560    0.000 decoder.py:334(decode)
       14   15.211    1.087  109.998    7.857 <string>:5(<listcomp>)
  2943500   12.388    0.000   94.398    0.000 __init__.py:302(loads)
  2943514    8.022    0.000    9.118    0.000 frame.py:6367(<genexpr>)
  5898284    4.185    0.000    4.195    0.000 {built-in method builtins.isinstance}
  2946360    3.744    0.000    3.744    0.000 {method 'startswith' of 'str' objects}
       14    3.312    0.237   12.430    0.888 {pandas._libs.lib.fast_unique_multiple_list_gen}
        1    3.164    3.164  139.874  139.874 <string>:2(<module>)
  5887000    3.044    0.000    3.044    0.000 {method 'end' of '_sre.SRE_Match' objects}
       14    2.318    0.166    2.318    0.166 {built-in method _pickle.dumps}
       14    1.976    0.141    1.976    0.141 {pandas._libs.lib.dicts_to_array}
  2943514    1.808    0.000    3.265    0.000 frame.py:6368(<genexpr>)
       70    1.588    0.023    1.588    0.023 {pandas._libs.lib.maybe_convert_objects}
       14    1.239    0.089    1.239    0.089 frame.py:6373(<listcomp>)
  2943500    1.096    0.000    1.096    0.000 {method 'keys' of 'dict' objects}
2946398/2946202    0.999    0.000    1.002    0.000 {built-in method builtins.len}
      112    0.731    0.007    3.998    0.036 {built-in method builtins.any}
       14    0.473    0.034    0.473    0.034 {method '_close_file' of 'tables.hdf5extension.File' objects}
       14    0.312    0.022    0.399    0.029 {pandas._libs.lib.clean_index_list}
      378    0.277    0.001    0.277    0.001 {method '_g_get_objinfo' of 'tables.hdf5extension.Group' objects}
       70    0.241    0.003    0.250    0.004 {method '_create_array' of 'tables.hdf5extension.Array' objects}
    33013    0.218    0.000    0.218    0.000 {built-in method _codecs.utf_8_decode}
       42    0.194    0.005    0.194    0.005 {method '_g_list_group' of 'tables.hdf5extension.Group' objects}
       28    0.185    0.007    0.203    0.007 internals.py:4796(_stack_arrays)
    33013    0.171    0.000    0.389    0.000 codecs.py:318(decode)
      112    0.171    0.002    0.171    0.002 {built-in method pandas._libs.lib.infer_datetimelike_array}
       28    0.126    0.005    0.126    0.005 {method 'copy' of 'numpy.ndarray' objects}
       14    0.119    0.009   21.529    1.538 frame.py:6229(_to_arrays)
       98    0.115    0.001    0.116    0.001 {pandas._libs.lib.infer_dtype}
       14    0.097    0.007    0.099    0.007 {method '_g_new' of 'tables.hdf5extension.File' objects}
     1288    0.097    0.000    0.097    0.000 {built-in method numpy.core.multiarray.array}
       14    0.063    0.005    0.063    0.005 {method '_append' of 'tables.hdf5extension.VLArray' objects}
